year,industry_code,industry,employees,total_monthly,regular_monthly,total_hours,regular_hours,source_release,tsic_version,employment_share,regular_hourly,total_hourly,real_regular_monthly,real_total_monthly,real_regular_hourly,real_total_hourly,cpi_2024_100
2019,J,information_communication,233123.0000000000,72144.0000000000,58909.0000000000,161.4000000000,159.6000000000,2019,10,0.0292625682,369.1040100251,446.9888475836,64609.0332819043,79124.6515318492,404.8185042726,490.2394766533,91.1776527331
2019,K,finance_insurance,389808.0000000000,93059.0000000000,63130.0000000000,165.8000000000,162.5000000000,2019,10,0.0489303208,388.4923076923,561.2726176116,69238.4571302623,102063.3863786643,426.0828131093,615.5813412465,91.1776527331
2019,L,real_estate,119321.0000000000,50431.0000000000,41705.0000000000,167.7000000000,164.8000000000,2019,10,0.0149776680,253.0643203883,300.7215265355,45740.3746969363,55310.7022261406,277.5508173358,329.8193334892,91.1776527331
2019,M,professional_scientific,277080.0000000000,61326.0000000000,50719.0000000000,165.4000000000,161.1000000000,2019,10,0.0347802336,314.8292985723,370.7738814994,55626.5690985233,67259.9021379766,345.2921731752,406.6499524666,91.1776527331
2019,N,support_services,404002.0000000000,37616.0000000000,34100.0000000000,178.4000000000,170.6000000000,2019,10,0.0507120107,199.8827667057,210.8520179372,37399.5150980824,41255.7231650871,219.2234179255,231.2540536160,91.1776527331
2019,P,education,71934.0000000000,26972.0000000000,25077.0000000000,129.9000000000,129.1000000000,2019,10,0.0090294547,194.2447714950,207.6366435720,27503.4498567335,29581.8100066123,213.0398904472,227.7275597122,91.1776527331
2019,Q,health_social,381442.0000000000,68517.0000000000,56030.0000000000,165.7000000000,161.5000000000,2019,10,0.0478801857,346.9349845201,413.5003017502,61451.4613180516,75146.7031077805,380.5044044461,453.5105800107,91.1776527331
2019,R,arts_recreation,70629.0000000000,39520.0000000000,36891.0000000000,162.4000000000,160.3000000000,2019,10,0.0088656457,230.1372426700,243.3497536946,40460.5721842627,43343.9541547278,252.4053161838,266.8962694257,91.1776527331
2019,S,other_services,114098.0000000000,35594.0000000000,31671.0000000000,176.5000000000,174.1000000000,2019,10,0.0143220553,181.9126938541,201.6657223796,34735.4851223275,39038.0744985673,199.5145613000,221.1788923432,91.1776527331
2020,B,mining,3424.0000000000,57054.0000000000,42703.0000000000,170.1000000000,164.5000000000,2020,10,0.0004304161,259.5927051672,335.4144620811,46946.7741436596,62723.9597216203,285.3907242776,368.7475586221,90.9604563443
2020,C,manufacturing,2841148.0000000000,54004.0000000000,39557.0000000000,174.4000000000,160.9000000000,2020,10,0.3571483074,245.8483530143,309.6559633028,43488.1283469719,59370.8542925366,270.2804744995,340.4292103930,90.9604563443
2020,D,electricity_gas,32952.0000000000,94360.0000000000,64697.0000000000,177.4000000000,166.5000000000,2020,10,0.0041422520,388.5705705706,531.9052987599,71126.5121132553,103737.3863240455,427.1862589385,584.7654246000,90.9604563443
2020,E,water_waste,33758.0000000000,45469.0000000000,36669.0000000000,169.6000000000,164.1000000000,2020,10,0.0042435708,223.4552102377,268.0955188679,40313.1222882199,49987.6559852483,245.6619274115,294.7385376489,90.9604563443
2020,F,construction,476238.0000000000,45622.0000000000,39983.0000000000,168.1000000000,164.2000000000,2020,10,0.0598657992,243.5018270402,271.3979773944,43956.4637282144,50155.8609461170,267.7007535214,298.3691906372,90.9604563443
2020,G,wholesale_retail,1706145.0000000000,52281.0000000000,41678.0000000000,163.0000000000,159.7000000000,2020,10,0.2144720370,260.9768315592,320.7423312883,45819.9108437216,57476.6245698116,286.9124035299,352.6173286492,90.9604563443
