year,industry_code,industry,employees,total_monthly,regular_monthly,total_hours,regular_hours,source_release,tsic_version,employment_share,regular_hourly,total_hourly,real_regular_monthly,real_total_monthly,real_regular_hourly,real_total_hourly,cpi_2024_100
2009,I,accommodation_food,282880.0000000000,27106.0000000000,24521.0000000000,169.6000000000,166.6000000000,2024,11,0.0437319655,147.1848739496,159.8231132075,29680.7680778407,32809.7100247930,178.1558708154,193.4534789198,82.6157865446
2009,J,information_communication,170998.0000000000,61932.0000000000,49250.0000000000,169.0000000000,166.8000000000,2024,11,0.0264355155,295.2637889688,366.4615384615,59613.3040183375,74963.8811058614,357.3939089828,443.5732609814,82.6157865446
2009,K,finance_insurance,359704.0000000000,67713.0000000000,52549.0000000000,168.1000000000,165.2000000000,2024,11,0.0556086076,318.0932203390,402.8138013087,63606.4875707536,81961.3330963185,385.0271644719,487.5748548264,82.6157865446
2009,L,real_estate,81160.0000000000,39032.0000000000,35398.0000000000,181.7000000000,180.0000000000,2024,11,0.0125469680,196.6555555556,214.8156301596,42846.5327033728,47245.2077653553,238.0362927965,260.0176541847,82.6157865446
2009,M,professional_scientific,206745.0000000000,49426.0000000000,43813.0000000000,173.8000000000,169.5000000000,2024,11,0.0319618397,258.4837758112,284.3843498274,53032.2373391963,59826.3383636619,312.8745565734,344.2251919658,82.6157865446
2009,N,support_services,299974.0000000000,31249.0000000000,28617.0000000000,187.8000000000,180.4000000000,2024,11,0.0463746204,158.6308203991,166.3951011715,34638.6582962998,37824.4900968330,192.0103009773,201.4083604730,82.6157865446
2009,P,education,71491.0000000000,22197.0000000000,21331.0000000000,140.9000000000,140.7000000000,2024,11,0.0110521845,151.6062544421,157.5372604684,25819.5205688357,26867.7463816251,183.5076088759,190.6866315232,82.6157865446
2009,Q,health_social,283566.0000000000,57858.0000000000,48381.0000000000,173.7000000000,171.0000000000,2024,11,0.0438380180,282.9298245614,333.0915371330,58561.4469382982,70032.6201805679,342.4646019784,403.1814633308,82.6157865446
2009,R,arts_recreation,54437.0000000000,31242.0000000000,29216.0000000000,184.1000000000,182.9000000000,2024,11,0.0084157134,159.7375615090,169.7012493210,35363.7013238527,37816.0171399167,193.3499252261,205.4101963059,82.6157865446
2009,S,other_services,82464.0000000000,29738.0000000000,27272.0000000000,195.1000000000,193.7000000000,2024,11,0.0127485605,140.7950438823,152.4243977447,33010.6401459513,35995.5418253263,170.4214772636,184.4979078694,82.6157865446
2010,B,mining,4282.0000000000,52551.0000000000,40774.0000000000,185.0000000000,180.7000000000,2024,11,0.0006396556,225.6447149972,284.0594594595,48881.7982708934,63000.6224783862,270.5135488151,340.5439052886,83.4134615385
2010,C,manufacturing,2496090.0000000000,43152.0000000000,33389.0000000000,189.1000000000,171.6000000000,2024,11,0.3728720284,194.5745920746,228.1967213115,40028.3112391931,51732.6570605187,233.2652170116,273.5730145982,83.4134615385
2010,D,electricity_gas,28541.0000000000,96523.0000000000,65243.0000000000,173.3000000000,168.9000000000,2024,11,0.0042635244,386.2818235642,556.9705712637,78216.3919308357,115716.3342939481,463.0929066361,667.7226445121,83.4134615385
2010,E,water_waste,26178.0000000000,45106.0000000000,36283.0000000000,182.5000000000,177.4000000000,2024,11,0.0039105337,204.5264937993,247.1561643836,43497.7752161383,54075.2046109510,245.1960271485,296.3024910189,83.4134615385
2010,F,construction,436377.0000000000,41599.0000000000,37502.0000000000,177.1000000000,172.3000000000,2024,11,0.0651870634,217.6552524666,234.8898927160,44959.1700288184,49870.8472622478,260.9354035335,281.5971048122,83.4134615385
2010,G,wholesale_retail,1484215.0000000000,41766.0000000000,35195.0000000000,176.2000000000,173.7000000000,2024,11,0.2217156663,202.6194588371,237.0374574347,42193.4293948127,50071.0547550432,242.9097835050,284.1717068958,83.4134615385
2010,H,transportation_storage,256734.0000000000,49009.0000000000,39557.0000000000,181.7000000000,173.9000000000,2024,11,0.0383515528,227.4698102358,269.7248211337,47422.8011527377,58754.3054755043,272.7015592452,323.3588633765,83.4134615385
2010,I,accommodation_food,300501.0000000000,27788.0000000000,24936.0000000000,171.6000000000,168.9000000000,2024,11,0.0448895743,147.6376554174,161.9347319347,29894.4553314121,33313.5677233429,176.9949990018,194.1350100428,83.4134615385
2010,J,information_communication,173933.0000000000,64330.0000000000,49782.0000000000,170.0000000000,167.7000000000,2024,11,0.0259825369,296.8515205725,378.4117647059,59681.0144092219,77121.8443804034,355.8796327324,453.6579081200,83.4134615385
2010,K,finance_insurance,356578.0000000000,74219.0000000000,54609.0000000000,168.8000000000,166.2000000000,2024,11,0.0532664937,328.5740072202,439.6860189573,65467.8501440922,88977.2449567723,393.9100490018,527.1163800757,83.4134615385
2010,L,real_estate,87905.0000000000,42093.0000000000,36370.0000000000,180.3000000000,178.2000000000,2024,11,0.0131314639,204.0965207632,233.4608985025,43602.0749279539,50463.0778097983,244.6805551513,279.8839590116,83.4134615385
2010,M,professional_scientific,217886.0000000000,52141.0000000000,44039.0000000000,174.9000000000,169.8000000000,2024,11,0.0325483435,259.3580683157,298.1189251001,52796.0345821326,62509.0951008645,310.9307101421,357.3990571805,83.4134615385
2010,N,support_services,320967.0000000000,32064.0000000000,28713.0000000000,192.2000000000,182.8000000000,2024,11,0.0479468354,157.0733041575,166.8262226847,34422.5014409222,38439.8386167147,188.3069006615,199.9991603367,83.4134615385
2010,P,education,71428.0000000000,22459.0000000000,21295.0000000000,139.1000000000,138.0000000000,2024,11,0.0106700893,154.3115942029,161.4593817398,25529.4524495677,26924.9106628242,184.9960322432,193.5651377629,83.4134615385
2010,Q,health_social,291065.0000000000,57897.0000000000,49078.0000000000,175.0000000000,172.5000000000,2024,11,0.0434800015,284.5101449275,330.8400000000,58837.0259365994,69409.6599423631,341.0842083281,396.6266282421,83.4134615385
2010,R,arts_recreation,57697.0000000000,32687.0000000000,29925.0000000000,181.1000000000,179.6000000000,2024,11,0.0086189190,166.6202672606,180.4914411927,35875.5043227666,39186.7204610951,199.7522512403,216.3816701330,83.4134615385
2010,S,other_services,83850.0000000000,30832.0000000000,27524.0000000000,195.9000000000,193.7000000000,2024,11,0.0125257181,142.0960247806,157.3864216437,32997.0720461095,36962.8587896254,170.3514302845,188.6822807025,83.4134615385
2011,B,mining,4176.0000000000,53978.0000000000,41278.0000000000,181.5000000000,177.4000000000,2024,11,0.0006025703,232.6832018038,297.3994490358,48792.4507587870,63804.4214123215,275.0419997677,351.5395119136,84.5991528568
2011,C,manufacturing,2595550.0000000000,44603.0000000000,33907.0000000000,185.3000000000,169.3000000000,2024,11,0.3745213780,200.2776137035,240.7069616838,40079.5975550703,52722.7501621730,236.7371385415,284.5264444802,84.5991528568
2011,D,electricity_gas,28607.0000000000,95382.0000000000,66043.0000000000,170.6000000000,166.3000000000,2024,11,0.0041278084,397.1316897174,559.0973036342,78065.7935331792,112745.8098327105,469.4275017028,660.8781350100,84.5991528568
2011,E,water_waste,26262.0000000000,45828.0000000000,36424.0000000000,178.8000000000,173.9000000000,2024,11,0.0037894398,209.4537090282,256.3087248322,43054.8046523102,54170.7552055258,247.5836955279,302.9684295611,84.5991528568
2011,F,construction,444954.0000000000,42716.0000000000,37523.0000000000,178.2000000000,172.4000000000,2024,11,0.0642040358,217.6508120650,239.7081930415,44353.8720340609,50492.2313729431,257.2730396407,283.3458550670,84.5991528568
2011,G,wholesale_retail,1530126.0000000000,42562.0000000000,35759.0000000000,174.0000000000,171.4000000000,2024,11,0.2207874624,208.6289381564,244.6091954023,42268.7447716330,50310.1964532074,246.6087792977,289.1390600759,84.5991528568
2011,H,transportation_storage,264487.0000000000,50330.0000000000,40332.0000000000,179.4000000000,171.3000000000,2024,11,0.0381637941,235.4465849387,280.5462653289,47674.2362518387,59492.3214954637,278.3084428012,331.6182915020,84.5991528568
2011,I,accommodation_food,322844.0000000000,29715.0000000000,25663.0000000000,169.0000000000,166.0000000000,2024,11,0.0465843385,154.5963855422,175.8284023669,30334.8191245398,35124.4651944706,182.7398742442,207.8370721566,84.5991528568
2011,J,information_communication,180627.0000000000,66376.0000000000,50909.0000000000,168.0000000000,165.7000000000,2024,11,0.0260633288,307.2359686180,395.0952380952,60176.7255118729,78459.4144959845,363.1667200475,467.0203243809,84.5991528568
2011,K,finance_insurance,362870.0000000000,76920.0000000000,55008.0000000000,165.9000000000,163.4000000000,2024,11,0.0523598360,336.6462668299,463.6528028933,65021.9276936711,90922.8962732182,397.9310140372,548.0584464932,84.5991528568
2011,L,real_estate,96687.0000000000,43783.0000000000,36023.0000000000,179.2000000000,177.5000000000,2024,11,0.0139513199,202.9464788732,244.3247767857,42580.8046340372,51753.4733168267,239.8918570932,288.8028644912,84.5991528568
2011,M,professional_scientific,231738.0000000000,54097.0000000000,44675.0000000000,172.9000000000,168.1000000000,2024,11,0.0334383214,265.7644259369,312.8802776171,52807.8573973742,63945.0847593901,314.1454931432,369.8385469022,84.5991528568
2011,N,support_services,330944.0000000000,32855.0000000000,29318.0000000000,192.2000000000,182.2000000000,2024,11,0.0477531170,160.9110867179,170.9417273673,34655.1933559310,38836.0862851870,190.2041347746,202.0608027325,84.5991528568
2011,P,education,72488.0000000000,22416.0000000000,21223.0000000000,135.1000000000,134.2000000000,2024,11,0.0104595580,158.1445603577,165.9215396003,25086.5396204694,26496.7192259550,186.9339763075,196.1267152180,84.5991528568
2011,Q,health_social,296700.0000000000,59900.0000000000,50100.0000000000,173.9000000000,171.0000000000,2024,11,0.0428119254,292.9824561404,344.4508338125,59220.4511607934,70804.4915076153,346.3184278409,407.1563628960,84.5991528568
2011,R,arts_recreation,56701.0000000000,33236.0000000000,30388.0000000000,182.0000000000,179.9000000000,2024,11,0.0081815941,168.9160644803,182.6153846154,35919.9814346146,39286.4454047930,199.6663781802,215.8595901362,84.5991528568
