row_type,year,industry_code,industry,employees,employment_share_common,normal_hours,overtime_hours,normal_pretrend_annual_change_2000_2016,normal_reform_window_annual_change_2016_2019,overtime_pretrend_annual_change_2000_2016,overtime_reform_window_annual_change_2016_2019,normal_change_vs_pretrend,overtime_change_vs_pretrend,part_time_series_requested_period,part_time_series_consistent_coverage,part_time_series_used,part_time_series_reason
annual_industry_path,2011.0000000000,H,transportation_storage,264487.0000000000,0.0385671898,171.3000000000,8.1000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,I,accommodation_food,322844.0000000000,0.0470767404,166.0000000000,3.0000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,J,information_communication,180627.0000000000,0.0263388212,165.7000000000,2.3000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,K,finance_insurance,362870.0000000000,0.0529132856,163.4000000000,2.5000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,L,real_estate,96687.0000000000,0.0140987870,177.5000000000,1.7000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,M,professional_scientific,231738.0000000000,0.0337917684,168.1000000000,4.8000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,N,support_services,330944.0000000000,0.0482578731,182.2000000000,10.0000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,Q,health_social,296700.0000000000,0.0432644524,171.0000000000,2.9000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,R,arts_recreation,56701.0000000000,0.0082680745,179.9000000000,2.1000000000,,,,,,,,,,
annual_industry_path,2011.0000000000,S,other_services,84551.0000000000,0.0123291295,193.3000000000,3.5000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,B,mining,4155.0000000000,0.0005933772,178.1000000000,4.6000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,C,manufacturing,2627967.0000000000,0.3753010265,169.2000000000,14.9000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,D,electricity_gas,28999.0000000000,0.0041413589,168.0000000000,8.5000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,E,water_waste,27138.0000000000,0.0038755887,174.2000000000,4.6000000000,,,,,,,,,,
annual_industry_path,2012.0000000000,F,construction,450099.0000000000,0.0642788196,171.2000000000,6.8000000000,,,,,,,,,,
