metric,method,scale,n_industries,year,annual_within,annual_shift,annual_interaction,annual_total,cumulative_within,cumulative_shift,cumulative_interaction,cumulative_total,cumulative_within_bootstrap_estimate_mean,cumulative_within_bootstrap_ci_lower,cumulative_within_bootstrap_ci_upper,cumulative_within_bootstrap_p_value_two_sided,cumulative_shift_bootstrap_estimate_mean,cumulative_shift_bootstrap_ci_lower,cumulative_shift_bootstrap_ci_upper,cumulative_shift_bootstrap_p_value_two_sided,cumulative_interaction_bootstrap_estimate_mean,cumulative_interaction_bootstrap_ci_lower,cumulative_interaction_bootstrap_ci_upper,cumulative_interaction_bootstrap_p_value_two_sided,cumulative_total_bootstrap_estimate_mean,cumulative_total_bootstrap_ci_lower,cumulative_total_bootstrap_ci_upper,cumulative_total_bootstrap_p_value_two_sided,valid_replications,seed,block_length,total_ci_width_exceeds_abs_cumulative_change
real_regular_monthly,laspeyres,2024_twd,16,2010,422.3700040802,-99.3558085321,-3.1025325273,319.9116630207,-659.8597141293,-359.2377225660,4.2176293285,-1014.8798073668,1073.6006372931,-2491.5619247749,4438.6300546076,0.5556000000,-12.9453370943,-494.6209567366,454.7627609652,0.9606000000,-8.4273616687,-58.5790799429,40.9721628034,0.7552000000,1052.2279385302,-2651.0588055055,4660.2468965142,0.5852000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2011,32.9791699387,-47.1617650312,0.5527290988,-13.6298659936,-626.8805441905,-406.3994875972,4.7703584273,-1028.5096733604,1181.4949782160,-2630.8688290931,4797.3495671200,0.5344000000,-21.4015522557,-539.6458439948,474.6596446882,0.9396000000,-9.4915507241,-63.3088103130,42.6982195213,0.7362000000,1150.6018752362,-2782.6324917614,5030.4771904612,0.5694000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2012,-260.6041865698,-42.2072975239,2.6251224683,-300.1863616253,-887.4847307603,-448.6067851210,7.3954808956,-1328.6960349857,1285.7049507253,-2651.1617900100,5142.6847616862,0.5208000000,-32.5909963300,-600.8518761227,495.7559556469,0.9222000000,-10.7436110855,-67.3457244019,44.2913948140,0.7216000000,1242.3703433099,-2853.3728941198,5378.8934456485,0.5654000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2013,91.5786246273,-22.5205119364,0.9813973636,70.0395100545,-795.9061061330,-471.1272970574,8.3768782592,-1258.6565249312,1387.6145589167,-2664.0996910447,5444.0550937672,0.5150000000,-42.4447722642,-653.1661548979,507.7093092259,0.9154000000,-11.8685034504,-72.2679567284,45.3845975017,0.7134000000,1333.3012832021,-2862.9053810836,5705.2114401698,0.5566000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2014,283.9763787440,-50.6681573567,-1.1130065031,232.1952148842,-511.9297273890,-521.7954544141,7.2638717561,-1026.4613100471,1498.0545180542,-2764.2661104544,5737.8464797002,0.4980000000,-55.6271267927,-725.3679572045,531.5312315416,0.8920000000,-13.3558075768,-77.3406360197,47.3000282080,0.6898000000,1429.0715836846,-3033.6829971364,5996.2469188681,0.5468000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2015,721.6106258858,-20.1955503490,0.1685556722,701.5836312090,209.6808984967,-541.9910047631,7.4324274283,-324.8776788381,1610.4932506990,-2766.1600302014,6051.0589850858,0.4844000000,-72.2577352143,-808.5996041811,561.7048737275,0.8654000000,-14.4729367610,-80.6566700416,48.0997024157,0.6768000000,1523.7625787236,-3173.4726532679,6314.3843027398,0.5434000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2016,-29.4354404351,-20.0274993377,-0.1641665295,-49.6271063023,180.2454580616,-562.0185041008,7.2682608988,-374.5047851404,1720.3765943176,-2761.8972516879,6269.3619110520,0.4628000000,-87.7392771092,-869.3903896502,561.9937064138,0.8452000000,-15.7524963741,-86.5327782780,49.0024866333,0.6600000000,1616.8848208344,-3125.1192805566,6507.4042402906,0.5200000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2017,551.3710768723,-19.7809041738,0.9737901709,532.5639628695,731.6165349339,-581.7994082746,8.2420510698,158.0591777291,1825.2307997671,-2823.4606285746,6595.8464407767,0.4498000000,-107.6107211765,-953.6738170542,574.0829673867,0.8144000000,-17.2339677803,-91.3229936083,49.2812858998,0.6534000000,1700.3861108103,-3212.9437520243,6838.1722826708,0.5160000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2018,513.4374776184,7.6600112412,-0.3213899016,520.7760989580,1245.0540125523,-574.1393970334,7.9206611682,678.8352766871,1931.3545083976,-2817.3280465165,6841.0754208175,0.4464000000,-129.5876301759,-1045.3034195307,593.3430324079,0.7924000000,-18.7973939724,-95.1131832038,49.2813502114,0.6298000000,1782.9694842493,-3256.1309865735,7147.9287379246,0.5136000000,10000,20260809,3,True
real_regular_monthly,laspeyres,2024_twd,16,2019,533.7378489403,188.8128011783,-37.8746998144,684.6759503042,1778.7918614926,-385.3265958551,-29.9540386462,1363.5112269913,2028.0202725603,-2823.3526698830,7121.3402617047,0.4350000000,-150.0436326695,-1099.6548999204,600.8424870003,0.7712000000,-20.2303951348,-101.1997395843,50.7417560807,0.6250000000,1857.7462447560,-3324.8620227629,7347.5634681602,0.5086000000,10000,20260809,3,True
