row_type,composition,year,common_sample_real_2024_twd,full_panel_real_2024_twd,official_nominal_deflated_2024_twd,official_published_real_original_base,official_published_real_rebased_2024_twd,official_minus_common_2024_twd,start_year,end_year,source,effect_percentage_points,share_of_absolute_observed_gap_percent,observed_official_minus_common_growth_gap_percentage_points,official_published_log_growth_percent,common_sample_log_growth_percent,residual_exceeds_30_percent
annual_sequence,total,2014.0000000000,54536.2860497768,54281.1160531032,54280.7106049422,50347.0000000000,54278.9829807539,-257.3030690228,,,,,,,,,
annual_sequence,total,2015.0000000000,56093.1969449254,55829.4578820232,55829.3795924124,51783.0000000000,55827.1312231589,-266.0657217665,,,,,,,,,
annual_sequence,total,2016.0000000000,55652.6483566210,55401.3474502091,55401.0643669367,51384.0000000000,55396.9702560840,-255.6781005371,,,,,,,,,
annual_sequence,total,2017.0000000000,56855.4787566033,56597.9237105065,56598.0178844509,52498.0000000000,56597.9710513759,-257.5077052275,,,,,,,,,
annual_sequence,total,2018.0000000000,58130.9795835384,57866.2353988142,57866.6050159412,53670.0000000000,57861.5015110546,-269.4780724838,,,,,,,,,
annual_sequence,total,2019.0000000000,59183.2373524236,58732.5232599737,58732.5933436191,54477.0000000000,58731.5263241610,-451.7110282627,,,,,,,,,
annual_sequence,total,2020.0000000000,60142.2129023170,59672.4216759061,59672.0840917395,55346.0000000000,59668.3931923016,-473.8197100154,,,,,,,,,
annual_sequence,total,2021.0000000000,61002.7766438345,60512.6129439147,60512.3896000000,56127.0000000000,60510.3874662001,-492.3891776344,,,,,,,,,
annual_sequence,total,2022.0000000000,61294.6919794188,60786.3291144544,60785.8583085093,56379.0000000000,60782.0680769843,-512.6239024345,,,,,,,,,
annual_sequence,total,2023.0000000000,60182.1198644555,59693.5487041535,59693.9218891916,55369.0000000000,59693.1894385239,-488.9304259316,,,,,,,,,
annual_sequence,total,2024.0000000000,61518.6717416573,61002.4540318608,61002.0000000000,56583.0000000000,61002.0000000000,-516.6717416573,,,,,,,,,
growth_gap_decomposition,regular,,,,,,,,2000.0000000000,2024.0000000000,common_sample_effect,-0.6508586868,99.3021555015,-0.6554325870,3.9555920774,4.6110246644,False
growth_gap_decomposition,regular,,,,,,,,2000.0000000000,2024.0000000000,coverage_aggregation_effect,-0.0034534851,0.5269016448,-0.6554325870,3.9555920774,4.6110246644,False
growth_gap_decomposition,regular,,,,,,,,2000.0000000000,2024.0000000000,cpi_vintage_effect,-0.0011204152,0.1709428537,-0.6554325870,3.9555920774,4.6110246644,False
growth_gap_decomposition,regular,,,,,,,,2000.0000000000,2024.0000000000,residual,0.0000000000,0.0000000000,-0.6554325870,3.9555920774,4.6110246644,False
growth_gap_decomposition,total,,,,,,,,2000.0000000000,2024.0000000000,common_sample_effect,-0.8426640894,99.8873805408,-0.8436141632,10.2648422243,11.1084563875,False
growth_gap_decomposition,total,,,,,,,,2000.0000000000,2024.0000000000,coverage_aggregation_effect,-0.0016622176,0.1970352843,-0.8436141632,10.2648422243,11.1084563875,False
growth_gap_decomposition,total,,,,,,,,2000.0000000000,2024.0000000000,cpi_vintage_effect,0.0007121439,0.0844158251,-0.8436141632,10.2648422243,11.1084563875,False
growth_gap_decomposition,total,,,,,,,,2000.0000000000,2024.0000000000,residual,0.0000000000,0.0000000000,-0.8436141632,10.2648422243,11.1084563875,False
